ScientificName,USDACode,FamilyName,PrimaryGrowthForm,Lifespan,Clade,GrowthForm4Model,TissueType,IntroYear,DominantInvasionPathway,InvasiveRangeSize,HabitatBreadth,LocalAbundance,natrng,ClonalPropagation,RegenerativeCapacity,Range,pHMin,pHMax,HardinessZoneMin,HardinessZoneMax,SelfCompatible,SLA_m2kg1,SeedWeightMean_g,ElevationMin_m,ElevationMax_m,PrecipMin_in,PrecipMax_in,HeightMax_m,LeafWidthMax_cm,LeafLengthMax_cm,monoploid,holoploid,TissueTypeDummy,ResidenceTime
Abrus precatorius,ABPR3,Fabaceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1906,Escape,51,4,1021,72,,0,Long,5.227219369,7.973425242,6.225058794,9.962999931,,23.47437641,74.82,0,1500,25.35248345,90.78,3.000000001,4.28,12.7,1.192333648,3.243913228,1,120
Abutilon theophrasti,ABTH,Malvaceae,Shrub,Annual,Angiosperm,Shrub,Herbaceous,1870,Contaminant,210,48,6,13,,0,Short,4.9,8.2,7.487888413,10.92855164,,25,8.96,0,1500,20,118,3.999999998,20,17.62,0.4667,2.8,1,156
Acacia auriculiformis,ACAU,Fabaceae,Tree,Perennial,Angiosperm,Tree,Woody,1924,Escape,27,3,292,4,,0,Long,3,9,10.20833666,10.81606479,1,9.5,19.67,0,1000,30,134,34.99999999,4.5,20,0.69,3.132782012,0,102
Acacia cyclops,,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1942,Release,9,1,70,2,,1,Long,6,8.3,8.796345625,10.29596897,,7.346585873,30.82,0,300,8,55,8.000000004,1.3,9,0.64,3.137079067,0,84
Acacia dealbata,ACDE3,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1931,Release,24,6,115,3,,0,Long,5.246094323,7.349177882,9,10.32544646,1,4.38,12.68,349.9999998,1000,24,72,15.00000001,0.07,0.5,0.87,7.651795273,0,95
Acacia longifolia,ACLO,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1903,Escape,11,3,52,4,,1,Long,4.6,8.2,9,10,1,8.65306816,14.86,0,1100,18,55,9.999999996,2.5,15,0.786348468,3.630757382,0,123
Acacia melanoxylon,ACME,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1896,Escape,23,4,492,5,,1,Long,6,8.3,9,11,1,5.06,13.58,0,1200,19,116,20.00000001,3,1.4,0.8,4.260245912,0,130
Acacia paradoxa,ACPA8,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1912,Escape,9,4,6,4,,0,Short,5.8,7.5,9,10,1,7.346585873,14,0,300,18,33,3.5,0.7,2,0.89,4.436635731,0,114
Acacia retinodes,ACRE2,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1931,,2,1,1,1,,0,,5.5,7.8,9,10,,7.346585873,13.7,0,900.0000003,14,33,9.999999996,1.4,20,0.87,5.445344285,0,95
Acaena novae-zelandica,ACNO7,Rosaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1968,,15,5,9,,,1,,5,6.1,9,10,,14.87,1.79,0,200,27,71,1.5,6.02,11,1.004279675,5.326109148,1,58
Acer campestre,ACCA5,Aceraceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1880,Escape,5,3,1,32,0,1,Long,5.340083488,7.670741896,5,8,,12.84781283,78.99,0,200,23.94243154,69.52,20.00000001,10,7.5,0.69,2.04,0,146
Acer palmatum,ACPA2,Sapindaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1888,Escape,32,11,8,2,,0,Long,5.257869873,8,5,8,,11.11112609,40.04,20,853.784066,23.03795502,74.54,7.620000001,8.1,12.7,0.767562073,1.600814267,0,138
Acer platanoides,ACPL,Aceraceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1756,Escape,336,42,276,35,0,1,Long,4.8,7.2,3,7,,15.30948405,118.98,500,1500,24,63,30.00000002,15,12,0.71,1.420000001,0,270
Acer pseudoplatanus,ACPS,Aceraceae,Tree,Perennial,Angiosperm,Tree,Woody,1871,Escape,48,15,5,32,0,1,Long,5,8,4,7,,14.69574181,95.1,500,1900.000001,24,63,34.99999999,15.24,15.24,0.675,2.700000001,0,155
Acer tataricum subsp. ginnala,ACTAG,Sapindaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1860,,,,,,,,,6.1,7.5,3,8,,19.2851565,20.06,,,30,60,6.1,3.81,7.62,0.6,,0,166
Achillea millefolium,ACMI2,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1911,Escape,,,,51,1,1,Long,6,8,3,9,0,15.10510276,0.18,0,3600,7.999999999,60,0.91,2.54,7.62,2.439999999,12.53000001,1,115
Achillea ptarmica,,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1880,,29,1,16,27,1,1,,5.908718952,8.554995249,3,9,0,17.29967817,0.31,0,3600,5.721645192,50.8,0.6,0.5,1,2.899999999,5.8,1,146
Achyranthes bidentata,ACBI9,Amaranthaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1980,Escape,,,,36,,,Long,5.4,7.869184139,5,10,,21.32260616,2.9745928,100,3000.000001,30,100,2,13.5,6.8,1.925695804,8.448734662,1,46
Acorus calamus,,Acoraceae,Forb/Tree,Perennial,Angiosperm,Forb,Herbaceous,1904,Escape,48,22,25,1,1,1,Long,5.6,7.2,4,10,,22.5,3.72,347.3201956,1130.902298,16,65,1.52,2.54,15.24,0.2717,1.086734694,1,122
Adenanthera pavonina,ADPA,Fabaceae,Tree,Perennial,Angiosperm,Tree,Woody,1935,Escape,3,2,13,26,,1,Long,5,7,10,11,,23.47437641,241.53,300.0000001,1200,118,197,40,2.2,4.5,0.68,9.285152946,0,91
Aegilops cylindrica,AECY,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1870,Contaminant,171,28,378,26,0,0,Long,5.3,8.5,7,10,,30.37691408,26.11,0,2500,2,31,0.8,0.5,15,4.699999997,10.06252389,1,156
Aegilops neglecta,AENE2,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,,,,,,32,0,,,6.608071096,6.9,8.026134631,10.04071506,,30.37691408,14.65,0,1510.000001,5.306855439,22.06,0.4,0.5,7.5,7.750000004,37.09999998,1,
Aegilops triuncialis,AETR,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1898,Contaminant,68,12,2066,34,0,0,Long,7.1,7.4,7,10.03034418,,35.45126631,11.06,0,1000,19,75,0.45,0.3,7,6.133583258,23.2496437,1,128
Aegopodium podagraria,AEPO,Apiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1874,Escape,229,28,413,38,1,1,Short,6,8,3,10,,27.88242424,2.16,0.539472081,1615.057159,11.9931046,90.15,0.91,7.62,11.94,1.623522283,2.40585103,1,152
Aesculus hippocastanum,AEHI,Sapindaceae,Tree,Perennial,Angiosperm,Tree,Woody,1822,,33,18,0,6,0,1,,5.224197543,7.802708517,4,7,,10.96000274,12976.22,300.0000001,1300,20,43,30.00000002,6.05,14.03,0.6,1.2,0,204
Agave sisalana,AGSI2,Agavaceae,Forb/Shrub,Perennial,Angiosperm,Forb,Herbaceous,1826,Escape,28,3,48,1,,1,Short,4,6,7.452228197,9.046594943,,29.45213548,7.44,18.50909908,900.7308887,31,39,2,20.3,120,11.30999999,914.5968115,1,200
Ageratina adenophora,AGAD2,Asteraceae,Shrub,Perennial,Angiosperm,Shrub,Herbaceous,1909,Contaminant,23,4,1327,5,,1,Long,4.775634493,7.665190106,9,10.53063157,1,19.41692825,0.05,0,1000,41,61,2,7.5,8,2.247566585,9.409258933,1,117
Agropyron cristatum,,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1898,Release,519,27,1004,50,0,1,Long,5.5,7.7,5,8,0,10.05580182,1.75,1290,2800,4,41,7,0.6,20,7.150000004,14.30000001,1,128
Agrostemma githago,AGGI,Caryophyllaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1822,Contaminant,5,4,0,21,0,0,Short,6.852564103,8.115983306,5.484581166,8.431573993,,17.818,11.95,1350,1824.281103,19.51536717,35.58,0.9,2.54,15.24,2.1,8.527246157,1,204
